Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Target
1.0,43,1.0,0,393.0,95445,38.848082,-123.50608,1,59,2.0,1.0,22.71,2.0,1.0,2.0,26.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,110.15,6448.05,0.0,0,1339.89,7787.94,1
1.0,58,1.0,0,166.0,95420,39.361283,-123.784599,0,72,0.0,1.0,43.12,2.0,1.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,115.8,8424.9,0.0,0,3104.64,11529.54,0
0.0,20,1.0,0,861.0,95125,37.294926,-121.894763,8,55,2.0,1.0,47.46,2.0,1.0,1.0,53.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,90.15,4916.95,0.0,0,2610.3,7527.25,0
0.0,50,1.0,0,554.0,95032,37.233034,-121.947427,3,21,4.0,1.0,42.22,2.0,1.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,86.5,1808.7,0.0,0,886.62,2695.32,1
1.0,46,0.0,0,366.0,91206,34.162515,-118.203869,0,9,0.0,1.0,10.69,2.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,70.5,542.4,38.33,10,96.21,610.28,0
1.0,37,0.0,0,338.0,96112,41.932207,-120.135941,0,33,0.0,1.0,28.84,0.0,1.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,68.25,2171.15,0.0,0,951.72,3122.87,1
0.0,28,0.0,0,864.0,94579,37.687264,-122.15728,0,35,3.0,1.0,45.14,2.0,1.0,2.0,41.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,85.3,2917.5,23.89,130,1579.9,4603.51,1
1.0,42,0.0,0,1075.0,90744,33.782068,-118.262263,0,3,0.0,1.0,35.65,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,19.6,61.35,0.0,0,106.95,168.3,0
1.0,32,1.0,0,1074.0,95988,39.493991,-122.286363,4,24,0.0,1.0,27.38,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,19.75,483.15,16.56,0,657.12,1123.71,0
1.0,54,1.0,0,570.0,93637,36.902954,-120.194274,1,40,2.0,1.0,22.56,2.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,101.3,4113.1,0.0,0,902.4,5015.5,1
0.0,70,1.0,0,320.0,95018,37.089111,-122.062213,6,60,2.0,1.0,24.68,2.0,1.0,2.0,19.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,89.45,5294.6,0.0,10,1480.8,6785.4,0
0.0,76,1.0,1,870.0,95046,37.084697,-121.606417,7,46,2.0,1.0,20.42,2.0,1.0,2.0,16.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,110.2,4972.1,0.0,0,939.32,5911.42,0
1.0,48,0.0,0,60.0,92220,33.936298,-116.849577,0,22,0.0,1.0,19.19,2.0,1.0,2.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,79.35,1730.35,0.0,0,422.18,2152.53,1
0.0,57,0.0,0,366.0,91201,34.17051,-118.289463,0,1,0.0,1.0,37.62,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19.75,19.75,0.0,0,37.62,57.37,0
1.0,51,0.0,0,827.0,92506,33.930931,-117.361788,0,22,4.0,0.0,0.0,1.0,1.0,1.0,16.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,43.75,903.6,0.0,0,0.0,903.6,1
0.0,80,0.0,0,482.0,91011,34.234912,-118.153729,0,15,0.0,1.0,39.57,0.0,1.0,2.0,16.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,91.5,1400.3,48.66,0,593.55,1945.19,0
0.0,23,0.0,0,149.0,91351,34.422519,-118.420717,0,1,5.0,1.0,5.12,0.0,1.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,45.95,45.95,0.0,0,5.12,51.07,1
0.0,61,1.0,1,817.0,95974,39.495768,-121.747472,7,7,0.0,1.0,5.01,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,20.65,158.95,0.0,0,35.07,194.02,0
1.0,37,0.0,0,552.0,90003,33.964131,-118.272783,0,2,0.0,1.0,10.47,0.0,1.0,1.0,21.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,53.85,108.15,0.0,0,20.94,129.09,1
1.0,62,0.0,0,936.0,95372,37.990574,-120.261821,0,30,3.0,1.0,7.19,2.0,1.0,2.0,18.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,90.4,2820.65,0.0,0,215.7,3036.35,0
1.0,52,1.0,0,742.0,95663,38.859093,-121.182872,9,42,0.0,1.0,41.16,2.0,1.0,2.0,11.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,94.4,4014.6,0.0,0,1728.72,5743.32,0
0.0,48,1.0,0,646.0,94040,37.380662,-122.086022,3,63,2.0,1.0,8.98,2.0,1.0,2.0,16.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,100.55,6215.35,0.0,0,565.74,6781.09,1
0.0,22,0.0,0,536.0,93544,34.500091,-117.765862,0,11,4.0,0.0,0.0,1.0,1.0,1.0,52.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,35.8,363.15,0.0,0,0.0,363.15,0
0.0,27,0.0,0,315.0,92028,33.362575,-117.299644,0,2,0.0,1.0,24.83,2.0,1.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,49.4,106.55,0.0,0,49.66,156.21,1
0.0,78,0.0,1,674.0,91605,34.207295,-118.400022,0,11,4.0,1.0,11.59,0.0,1.0,2.0,29.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,95.0,1120.3,0.0,120,127.49,1367.79,1
0.0,35,1.0,0,852.0,92117,32.825086,-117.199424,1,49,0.0,1.0,26.37,2.0,1.0,2.0,19.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,100.45,4941.8,0.0,0,1292.13,6233.93,1
1.0,21,1.0,0,937.0,93665,36.959731,-120.653519,1,60,2.0,1.0,33.25,0.0,1.0,2.0,52.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,90.95,5453.4,0.0,0,1995.0,7448.4,1
1.0,35,0.0,0,855.0,94118,37.781304,-122.461522,0,3,0.0,1.0,9.74,0.0,1.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,70.3,220.4,0.0,0,29.22,249.62,0
0.0,63,1.0,3,27.0,94508,38.542448,-122.419923,1,21,0.0,1.0,35.72,0.0,1.0,0.0,30.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,58.85,1215.45,0.0,0,750.12,1965.57,0
0.0,25,0.0,2,303.0,91436,34.152875,-118.486056,0,50,2.0,1.0,37.52,0.0,1.0,1.0,71.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,70.8,3478.15,0.0,0,1876.0,5354.15,0
0.0,39,1.0,0,169.0,96017,41.121108,-122.336613,1,31,0.0,1.0,38.67,2.0,1.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,91.15,2995.45,0.0,0,1198.77,4194.22,1
1.0,27,0.0,0,816.0,94804,37.921034,-122.341798,0,16,0.0,1.0,20.44,0.0,1.0,2.0,59.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,94.25,1483.25,0.0,140,327.04,1950.29,1
1.0,77,1.0,0,676.0,95960,39.423046,-120.984472,5,64,0.0,1.0,14.87,0.0,1.0,2.0,16.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,80.3,5017.7,0.0,0,951.68,5969.38,0
1.0,53,0.0,0,1007.0,91042,34.296574,-118.244839,0,67,0.0,1.0,22.66,2.0,1.0,2.0,27.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,118.35,7804.15,0.0,0,1518.22,9322.37,1
1.0,23,1.0,0,759.0,92268,34.201108,-116.593456,5,70,1.0,1.0,45.24,2.0,1.0,2.0,42.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,98.7,6858.9,0.0,0,3166.8,10025.7,0
0.0,47,0.0,0,55.0,92309,35.28952,-116.092214,0,4,5.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,33.65,137.85,0.0,0,0.0,137.85,1
0.0,69,0.0,0,614.0,96063,40.408796,-121.579609,0,42,0.0,1.0,16.22,2.0,1.0,2.0,12.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,104.75,4323.45,0.0,0,681.24,5004.69,1
1.0,53,0.0,0,1026.0,92082,33.25283,-116.986079,0,15,0.0,1.0,16.13,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,19.8,309.4,0.0,0,241.95,551.35,0
1.0,54,1.0,0,570.0,93637,36.902954,-120.194274,1,40,2.0,1.0,22.56,2.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,101.3,4113.1,0.0,0,902.4,5015.5,1
0.0,54,1.0,2,650.0,95554,40.267158,-123.805913,1,1,0.0,1.0,28.73,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,19.45,19.45,0.0,0,28.73,48.18,1
0.0,22,1.0,0,986.0,93465,35.536115,-120.739231,1,33,3.0,1.0,41.61,2.0,1.0,2.0,73.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,103.7,3467.0,0.0,0,1373.13,4840.13,1
1.0,55,0.0,0,852.0,92130,32.957195,-117.202542,0,48,0.0,1.0,24.73,2.0,1.0,2.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,106.1,5082.8,0.0,0,1187.04,6269.84,1
1.0,41,0.0,0,367.0,91740,34.119363,-117.855059,0,7,5.0,1.0,30.04,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,43.9,278.4,0.0,0,210.28,488.68,0
0.0,51,0.0,0,386.0,96038,41.599978,-122.539381,0,7,0.0,1.0,7.32,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,19.3,144.95,0.0,0,51.24,196.19,0
1.0,24,0.0,0,797.0,90275,33.753146,-118.367459,0,16,0.0,1.0,25.71,2.0,1.0,1.0,48.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,71.4,1212.1,0.0,0,411.36,1623.46,0
0.0,57,1.0,3,559.0,95651,38.815515,-120.916997,10,16,4.0,1.0,27.27,0.0,1.0,2.0,76.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,100.7,1522.7,0.0,0,436.32,1959.02,0
0.0,19,1.0,0,732.0,91105,34.13946,-118.166649,4,44,0.0,1.0,11.24,2.0,1.0,2.0,59.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,96.1,4364.1,0.0,0,494.56,4858.66,1
0.0,27,0.0,0,986.0,93465,35.536115,-120.739231,0,14,0.0,1.0,36.25,0.0,1.0,2.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,71.0,914.0,0.0,0,507.5,1421.5,1
1.0,32,1.0,0,319.0,93224,35.215731,-119.57013,1,16,0.0,1.0,17.96,2.0,1.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,73.85,1284.2,0.0,0,287.36,1571.56,1
0.0,46,0.0,0,501.0,92530,33.655421,-117.391751,0,13,0.0,0.0,0.0,1.0,1.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,31.05,347.25,0.0,0,0.0,347.25,1
1.0,54,1.0,0,56.0,93308,35.559617,-118.925185,1,55,0.0,1.0,12.21,2.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,25.7,1443.65,0.0,0,671.55,2115.2,0
0.0,40,1.0,3,852.0,92131,32.89325,-117.087091,3,5,5.0,0.0,0.0,1.0,1.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,25.05,125.5,0.0,0,0.0,125.5,0
0.0,64,1.0,0,941.0,91030,34.110444,-118.156957,1,11,4.0,1.0,25.67,2.0,1.0,2.0,18.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,94.0,1078.9,0.0,0,282.37,1361.27,1
0.0,64,1.0,0,984.0,92592,33.507255,-117.029473,1,40,2.0,1.0,2.03,2.0,1.0,2.0,19.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,84.85,3303.05,0.0,0,81.2,3384.25,1
0.0,78,0.0,0,950.0,91381,34.364153,-118.615583,0,11,0.0,1.0,4.1,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,84.8,906.85,0.0,0,45.1,951.95,1
1.0,65,0.0,0,855.0,94102,37.7795,-122.419233,0,9,0.0,1.0,48.71,2.0,1.0,2.0,15.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,100.5,918.6,0.0,0,438.39,1356.99,1
1.0,36,1.0,0,29.0,95843,38.715498,-121.363411,1,13,0.0,1.0,2.92,2.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,74.4,896.75,0.0,0,37.96,934.71,1
0.0,73,0.0,0,300.0,94608,37.83726,-122.287648,0,15,4.0,1.0,17.19,2.0,1.0,1.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,55.0,757.1,0.0,0,257.85,1014.95,1
1.0,33,1.0,0,861.0,95117,37.311088,-121.961786,3,32,0.0,1.0,47.89,2.0,1.0,2.0,9.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,98.85,3145.9,0.0,0,1532.48,4678.38,0
0.0,44,0.0,0,881.0,92701,33.748478,-117.858918,0,35,3.0,1.0,10.49,2.0,1.0,2.0,17.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,100.25,3527.6,0.0,0,367.15,3894.75,1
0.0,70,1.0,0,629.0,91755,34.049172,-118.115022,1,72,0.0,1.0,24.44,2.0,1.0,1.0,13.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,89.1,6352.4,0.0,0,1759.68,8112.08,0
0.0,51,0.0,3,292.0,90245,33.917145,-118.401554,0,3,5.0,1.0,39.55,0.0,1.0,1.0,56.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,64.5,177.4,0.0,60,118.65,356.05,0
1.0,40,1.0,0,1051.0,96094,41.465121,-122.380947,6,61,0.0,1.0,27.66,2.0,1.0,2.0,29.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,106.2,6375.2,0.0,0,1687.26,8062.46,0
0.0,46,0.0,0,996.0,94971,38.240769,-122.901041,0,2,0.0,1.0,26.44,0.0,1.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,69.75,144.55,0.0,0,52.88,197.43,1
1.0,45,0.0,0,395.0,95446,38.52576,-123.013347,0,9,0.0,1.0,19.22,2.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,95.5,829.1,0.0,0,172.98,1002.08,1
0.0,55,0.0,0,259.0,93618,36.523619,-119.386868,0,18,0.0,1.0,13.65,2.0,1.0,2.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,90.0,1527.35,0.0,0,245.7,1773.05,1
1.0,45,0.0,0,395.0,95446,38.52576,-123.013347,0,9,0.0,1.0,19.22,2.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,95.5,829.1,0.0,0,172.98,1002.08,1
0.0,48,0.0,3,366.0,91206,34.162515,-118.203869,0,13,0.0,1.0,33.54,0.0,1.0,2.0,76.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,79.25,1111.65,48.25,0,436.02,1499.42,1
0.0,76,0.0,0,740.0,95946,39.203817,-121.19584,0,4,0.0,1.0,35.67,0.0,1.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,72.75,317.75,0.0,0,142.68,460.43,0
1.0,71,1.0,0,852.0,92122,32.85723,-117.209774,0,27,0.0,0.0,0.0,1.0,1.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.75,805.1,0.0,140,0.0,945.1,1
1.0,75,0.0,0,305.0,92027,33.141265,-116.967221,0,31,0.0,1.0,46.71,2.0,1.0,2.0,24.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,90.7,2845.15,0.0,100,1448.01,4393.16,0
0.0,44,0.0,0,532.0,93543,34.505273,-117.955054,0,32,0.0,1.0,14.21,2.0,1.0,2.0,28.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,104.05,3416.85,0.0,0,454.72,3871.57,0
1.0,40,0.0,0,852.0,92117,32.825086,-117.199424,0,8,0.0,0.0,0.0,1.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,25.5,215.2,0.0,0,0.0,215.2,1
1.0,75,1.0,0,926.0,95728,39.279068,-120.414275,1,24,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,39.1,971.3,0.0,0,0.0,971.3,1
0.0,51,1.0,3,662.0,92663,33.62251,-117.927024,1,9,0.0,1.0,23.36,2.0,1.0,1.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,55.3,501.2,0.0,0,210.24,711.44,0
1.0,54,1.0,0,570.0,93637,36.902954,-120.194274,1,40,2.0,1.0,22.56,2.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,101.3,4113.1,0.0,0,902.4,5015.5,1
1.0,61,0.0,0,963.0,93067,34.420998,-119.60137,0,1,0.0,1.0,49.2,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,19.3,19.3,0.0,0,49.2,68.5,1
1.0,44,1.0,0,690.0,95465,38.415003,-122.998726,6,53,0.0,1.0,32.94,2.0,1.0,2.0,17.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,97.75,5043.2,0.0,0,1745.82,6789.02,0
0.0,59,1.0,0,261.0,95935,39.381174,-121.21191,6,55,2.0,1.0,24.93,0.0,1.0,2.0,17.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,94.75,5276.1,0.0,0,1371.15,6647.25,0
0.0,61,0.0,0,298.0,95625,38.349195,-121.902943,0,4,0.0,1.0,27.57,0.0,1.0,2.0,27.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,79.0,303.15,0.0,0,110.28,413.43,1
1.0,38,0.0,0,552.0,90027,34.127194,-118.295647,0,14,4.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,50.75,712.75,0.0,10,0.0,722.75,1
0.0,67,1.0,0,600.0,94025,37.449551,-122.183762,1,70,1.0,1.0,18.67,2.0,1.0,1.0,21.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,92.2,6474.45,0.0,0,1306.9,7781.35,0
1.0,71,0.0,0,50.0,93204,35.916943,-120.129921,0,22,0.0,1.0,46.11,2.0,1.0,2.0,27.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,90.5,1910.6,0.0,0,1014.42,2925.02,1
0.0,43,0.0,0,16.0,91901,32.827184,-116.703729,0,1,0.0,1.0,36.99,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,45.65,45.65,0.0,0,36.99,82.64,1
0.0,36,1.0,0,795.0,91730,34.10097,-117.57882,1,25,0.0,1.0,23.24,2.0,1.0,2.0,25.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,89.1,2368.4,0.0,0,581.0,2949.4,1
1.0,23,1.0,0,1051.0,96094,41.465121,-122.380947,2,51,2.0,1.0,39.32,2.0,1.0,2.0,76.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,111.55,5720.35,0.0,0,2005.32,7725.67,0
1.0,58,1.0,0,663.0,92657,33.603282,-117.821841,0,67,1.0,1.0,29.24,2.0,1.0,2.0,21.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,111.3,7482.1,0.0,0,1959.08,9441.18,1
1.0,43,1.0,0,645.0,95246,38.264262,-120.515133,1,29,0.0,1.0,40.49,0.0,1.0,2.0,15.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,94.65,2649.15,0.0,0,1174.21,3823.36,1
0.0,31,1.0,2,106.0,93426,35.842889,-121.004862,1,17,4.0,1.0,18.26,2.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,24.1,409.9,0.0,0,310.42,720.32,1
0.0,63,0.0,0,855.0,94104,37.791222,-122.402241,0,21,0.0,1.0,9.06,2.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,97.35,2119.5,0.0,0,190.26,2309.76,1
1.0,45,1.0,0,602.0,95348,37.40122,-120.514191,1,56,2.0,1.0,40.33,2.0,1.0,2.0,9.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,93.15,5253.95,0.0,0,2258.48,7512.43,0
