Total Charges,Total Revenue,Total Long Distance Charges,Avg Monthly Long Distance Charges,Zip Code,Latitude,Longitude,Contract,Monthly Charge,City,Number of Referrals,Tenure in Months,Premium Tech Support,Online Security,Online Backup,Internet Type,Number of Dependents,Device Protection Plan,Streaming Music,Avg Monthly GB Download,Churn Target
4113.1,5015.5,902.4,22.56,93637,36.902954,-120.194274,0.0,101.3,570.0,1,40,0.0,0.0,2.0,0.0,0,0.0,2.0,4.0,1
19.45,48.18,28.73,28.73,95554,40.267158,-123.805913,0.0,19.45,650.0,1,1,1.0,1.0,1.0,3.0,2,1.0,1.0,0.0,1
3467.0,4840.13,1373.13,41.61,93465,35.536115,-120.739231,1.0,103.7,986.0,1,33,0.0,2.0,0.0,2.0,0,2.0,2.0,73.0,1
5082.8,6269.84,1187.04,24.73,92130,32.957195,-117.202542,1.0,106.1,852.0,0,48,0.0,0.0,2.0,2.0,0,2.0,2.0,4.0,1
278.4,488.68,210.28,30.04,91740,34.119363,-117.855059,0.0,43.9,367.0,0,7,0.0,0.0,0.0,1.0,0,0.0,0.0,6.0,0
144.95,196.19,51.24,7.32,96038,41.599978,-122.539381,0.0,19.3,386.0,0,7,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
1212.1,1623.46,411.36,25.71,90275,33.753146,-118.367459,0.0,71.4,797.0,0,16,0.0,0.0,2.0,1.0,0,2.0,2.0,48.0,0
1522.7,1959.02,436.32,27.27,95651,38.815515,-120.916997,0.0,100.7,559.0,10,16,0.0,2.0,0.0,2.0,3,2.0,2.0,76.0,0
4364.1,4858.66,494.56,11.24,91105,34.13946,-118.166649,0.0,96.1,732.0,4,44,0.0,0.0,0.0,2.0,0,0.0,2.0,59.0,1
914.0,1421.5,507.5,36.25,93465,35.536115,-120.739231,0.0,71.0,986.0,0,14,0.0,0.0,0.0,2.0,0,0.0,0.0,52.0,1
1284.2,1571.56,287.36,17.96,93224,35.215731,-119.57013,0.0,73.85,319.0,1,16,0.0,0.0,0.0,2.0,0,0.0,0.0,30.0,1
347.25,347.25,0.0,0.0,92530,33.655421,-117.391751,0.0,31.05,501.0,0,13,0.0,0.0,2.0,0.0,0,0.0,0.0,16.0,1
1443.65,2115.2,671.55,12.21,93308,35.559617,-118.925185,2.0,25.7,56.0,1,55,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
125.5,125.5,0.0,0.0,92131,32.89325,-117.087091,0.0,25.05,852.0,3,5,0.0,0.0,0.0,1.0,3,0.0,0.0,53.0,0
1078.9,1361.27,282.37,25.67,91030,34.110444,-118.156957,0.0,94.0,941.0,1,11,0.0,0.0,0.0,2.0,0,0.0,2.0,18.0,1
3303.05,3384.25,81.2,2.03,92592,33.507255,-117.029473,0.0,84.85,984.0,1,40,2.0,0.0,0.0,2.0,0,2.0,0.0,19.0,1
906.85,951.95,45.1,4.1,91381,34.364153,-118.615583,0.0,84.8,950.0,0,11,0.0,0.0,0.0,2.0,0,0.0,0.0,5.0,1
918.6,1356.99,438.39,48.71,94102,37.7795,-122.419233,0.0,100.5,855.0,0,9,0.0,0.0,0.0,2.0,0,2.0,2.0,15.0,1
896.75,934.71,37.96,2.92,95843,38.715498,-121.363411,0.0,74.4,29.0,1,13,0.0,0.0,0.0,2.0,0,0.0,0.0,21.0,1
757.1,1014.95,257.85,17.19,94608,37.83726,-122.287648,0.0,55.0,300.0,0,15,2.0,0.0,0.0,1.0,0,0.0,0.0,19.0,1
3145.9,4678.38,1532.48,47.89,95117,37.311088,-121.961786,0.0,98.85,861.0,3,32,0.0,0.0,2.0,2.0,0,0.0,2.0,9.0,0
3527.6,3894.75,367.15,10.49,92701,33.748478,-117.858918,0.0,100.25,881.0,0,35,0.0,0.0,0.0,2.0,0,2.0,2.0,17.0,1
6352.4,8112.08,1759.68,24.44,91755,34.049172,-118.115022,2.0,89.1,629.0,1,72,2.0,2.0,2.0,1.0,0,2.0,0.0,13.0,0
177.4,356.05,118.65,39.55,90245,33.917145,-118.401554,0.0,64.5,292.0,0,3,2.0,2.0,0.0,1.0,3,0.0,2.0,56.0,0
6375.2,8062.46,1687.26,27.66,96094,41.465121,-122.380947,0.0,106.2,1051.0,6,61,0.0,2.0,2.0,2.0,0,0.0,2.0,29.0,0
144.55,197.43,52.88,26.44,94971,38.240769,-122.901041,0.0,69.75,996.0,0,2,0.0,0.0,0.0,2.0,0,0.0,0.0,24.0,1
829.1,1002.08,172.98,19.22,95446,38.52576,-123.013347,0.0,95.5,395.0,0,9,0.0,0.0,0.0,2.0,0,0.0,2.0,10.0,1
1527.35,1773.05,245.7,13.65,93618,36.523619,-119.386868,0.0,90.0,259.0,0,18,0.0,0.0,2.0,2.0,0,0.0,0.0,5.0,1
829.1,1002.08,172.98,19.22,95446,38.52576,-123.013347,0.0,95.5,395.0,0,9,0.0,0.0,0.0,2.0,0,0.0,2.0,10.0,1
1111.65,1499.42,436.02,33.54,91206,34.162515,-118.203869,0.0,79.25,366.0,0,13,0.0,0.0,2.0,2.0,3,2.0,0.0,76.0,1
317.75,460.43,142.68,35.67,95946,39.203817,-121.19584,2.0,72.75,740.0,0,4,0.0,0.0,2.0,2.0,0,0.0,0.0,8.0,0
805.1,945.1,0.0,0.0,92122,32.85723,-117.209774,0.0,30.75,852.0,0,27,0.0,2.0,0.0,0.0,0,0.0,0.0,13.0,1
2845.15,4393.16,1448.01,46.71,92027,33.141265,-116.967221,2.0,90.7,305.0,0,31,0.0,0.0,2.0,2.0,0,0.0,0.0,24.0,0
3416.85,3871.57,454.72,14.21,93543,34.505273,-117.955054,1.0,104.05,532.0,0,32,0.0,0.0,2.0,2.0,0,2.0,2.0,28.0,0
215.2,215.2,0.0,0.0,92117,32.825086,-117.199424,0.0,25.5,852.0,0,8,0.0,0.0,0.0,1.0,0,0.0,0.0,16.0,1
971.3,971.3,0.0,0.0,95728,39.279068,-120.414275,0.0,39.1,926.0,1,24,0.0,2.0,0.0,1.0,0,0.0,0.0,5.0,1
501.2,711.44,210.24,23.36,92663,33.62251,-117.927024,0.0,55.3,662.0,1,9,0.0,0.0,2.0,1.0,3,0.0,0.0,22.0,0
4113.1,5015.5,902.4,22.56,93637,36.902954,-120.194274,0.0,101.3,570.0,1,40,0.0,0.0,2.0,0.0,0,0.0,2.0,4.0,1
19.3,68.5,49.2,49.2,93067,34.420998,-119.60137,0.0,19.3,963.0,0,1,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,1
5043.2,6789.02,1745.82,32.94,95465,38.415003,-122.998726,1.0,97.75,690.0,6,53,2.0,0.0,2.0,2.0,0,0.0,2.0,17.0,0
5276.1,6647.25,1371.15,24.93,95935,39.381174,-121.21191,1.0,94.75,261.0,6,55,0.0,2.0,0.0,2.0,0,0.0,2.0,17.0,0
303.15,413.43,110.28,27.57,95625,38.349195,-121.902943,0.0,79.0,298.0,0,4,0.0,0.0,0.0,2.0,0,0.0,0.0,27.0,1
712.75,722.75,0.0,0.0,90027,34.127194,-118.295647,0.0,50.75,552.0,0,14,0.0,0.0,0.0,0.0,0,2.0,2.0,6.0,1
6474.45,7781.35,1306.9,18.67,94025,37.449551,-122.183762,2.0,92.2,600.0,1,70,2.0,2.0,2.0,1.0,0,2.0,2.0,21.0,0
1910.6,2925.02,1014.42,46.11,93204,35.916943,-120.129921,0.0,90.5,50.0,0,22,2.0,0.0,0.0,2.0,0,0.0,0.0,27.0,1
45.65,82.64,36.99,36.99,91901,32.827184,-116.703729,0.0,45.65,16.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,22.0,1
2368.4,2949.4,581.0,23.24,91730,34.10097,-117.57882,0.0,89.1,795.0,1,25,0.0,0.0,0.0,2.0,0,2.0,2.0,25.0,1
5720.35,7725.67,2005.32,39.32,96094,41.465121,-122.380947,1.0,111.55,1051.0,2,51,2.0,2.0,0.0,2.0,0,2.0,2.0,76.0,0
7482.1,9441.18,1959.08,29.24,92657,33.603282,-117.821841,1.0,111.3,663.0,0,67,0.0,2.0,2.0,2.0,0,2.0,2.0,21.0,1
2649.15,3823.36,1174.21,40.49,95246,38.264262,-120.515133,0.0,94.65,645.0,1,29,0.0,2.0,0.0,2.0,0,0.0,2.0,15.0,1
409.9,720.32,310.42,18.26,93426,35.842889,-121.004862,0.0,24.1,106.0,1,17,1.0,1.0,1.0,3.0,2,1.0,1.0,0.0,1
2119.5,2309.76,190.26,9.06,94104,37.791222,-122.402241,0.0,97.35,855.0,0,21,0.0,0.0,0.0,2.0,0,0.0,2.0,10.0,1
5253.95,7512.43,2258.48,40.33,95348,37.40122,-120.514191,1.0,93.15,602.0,1,56,0.0,2.0,2.0,2.0,0,2.0,0.0,9.0,0
863.1,990.9,127.8,12.78,90623,33.850504,-118.039892,0.0,89.5,490.0,0,10,0.0,0.0,0.0,2.0,0,0.0,2.0,2.0,1
6579.05,6962.65,383.6,5.48,93040,34.432843,-118.730106,2.0,93.9,760.0,1,70,2.0,2.0,2.0,2.0,0,2.0,0.0,14.0,1
245.15,265.72,20.57,1.87,92352,34.2565,-117.19335,1.0,25.2,500.0,0,11,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
857.25,1102.14,244.89,27.21,90211,34.063947,-118.383001,0.0,94.4,77.0,0,9,0.0,0.0,0.0,2.0,2,0.0,2.0,29.0,1
2427.35,2868.67,441.32,12.98,93651,37.007238,-119.505661,2.0,71.55,788.0,2,34,0.0,0.0,0.0,2.0,0,0.0,0.0,8.0,0
6309.65,9811.57,3481.92,48.36,93921,36.554618,-121.922239,2.0,86.05,158.0,0,72,2.0,2.0,2.0,1.0,0,0.0,2.0,71.0,0
41.2,66.56,25.36,12.68,96110,41.280341,-120.150381,0.0,20.3,279.0,0,2,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
2781.85,4070.17,1288.32,40.26,94611,37.828416,-122.216005,1.0,84.05,688.0,0,32,0.0,0.0,0.0,2.0,0,0.0,0.0,14.0,1
4528.0,4528.0,0.0,0.0,92363,34.711224,-114.702256,2.0,64.45,654.0,0,72,2.0,2.0,2.0,1.0,0,2.0,2.0,6.0,0
88.8,148.4,49.6,49.6,96084,40.923558,-122.059933,0.0,88.8,835.0,0,1,0.0,0.0,0.0,2.0,0,2.0,0.0,20.0,1
1078.9,1361.27,282.37,25.67,91030,34.110444,-118.156957,0.0,94.0,941.0,1,11,0.0,0.0,0.0,2.0,0,0.0,2.0,18.0,1
7281.6,7464.36,221.1,3.3,93063,34.296813,-118.685703,1.0,109.4,921.0,7,67,2.0,2.0,0.0,2.0,2,2.0,2.0,19.0,0
2754.45,3991.59,1237.14,45.82,92104,32.741499,-117.127409,0.0,101.25,852.0,1,27,0.0,2.0,0.0,2.0,0,2.0,0.0,13.0,1
155.65,166.57,10.92,3.64,90013,34.044639,-118.240413,0.0,63.6,552.0,0,3,2.0,0.0,0.0,1.0,0,0.0,0.0,25.0,1
4811.6,5204.47,438.48,6.09,93304,35.339796,-119.023552,2.0,66.5,56.0,8,72,2.0,2.0,0.0,1.0,0,2.0,0.0,41.0,0
4513.65,4751.09,237.44,4.24,94572,38.027218,-122.23463,2.0,80.3,829.0,9,56,0.0,2.0,0.0,2.0,0,2.0,0.0,15.0,0
1742.95,1946.35,203.4,11.3,95428,39.83307,-123.178765,0.0,99.4,226.0,1,18,0.0,2.0,0.0,2.0,0,0.0,2.0,16.0,1
1444.05,4121.97,2677.92,47.82,95825,38.590035,-121.412455,2.0,25.95,838.0,0,56,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
994.55,1708.1,713.55,47.57,92130,32.957195,-117.202542,0.0,64.65,852.0,0,15,0.0,2.0,0.0,1.0,0,0.0,2.0,26.0,1
38.45,38.45,0.0,0.0,95713,39.084645,-120.894014,0.0,24.3,206.0,0,2,0.0,0.0,0.0,1.0,0,0.0,0.0,59.0,0
70.85,97.9,27.05,27.05,96125,39.600599,-120.636358,0.0,70.85,917.0,0,1,0.0,0.0,0.0,2.0,0,0.0,0.0,23.0,1
58.9,58.9,0.0,0.0,96071,40.656287,-121.428965,0.0,25.25,696.0,0,3,0.0,0.0,0.0,1.0,0,0.0,0.0,27.0,1
1031.1,2323.86,1292.76,23.94,95366,37.750778,-121.13238,2.0,18.95,823.0,3,54,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
762.1,1126.82,364.72,45.59,95726,38.733908,-120.453416,0.0,87.05,775.0,0,8,0.0,0.0,0.0,2.0,0,0.0,0.0,8.0,1
688.0,688.0,0.0,0.0,95124,37.257063,-121.923037,0.0,29.1,861.0,4,24,0.0,0.0,0.0,1.0,0,2.0,0.0,51.0,0
1782.0,1782.0,0.0,0.0,94027,37.454924,-122.203168,1.0,35.8,45.0,1,49,2.0,2.0,0.0,0.0,0,0.0,0.0,82.0,0
507.9,770.15,262.25,10.49,93536,34.741406,-118.38111,1.0,20.2,511.0,2,25,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
1327.4,1857.37,529.97,7.91,95003,37.013471,-121.877877,1.0,20.85,34.0,5,67,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
262.05,410.25,148.2,49.4,95240,38.123544,-121.159078,0.0,88.35,539.0,0,3,2.0,0.0,0.0,2.0,0,2.0,0.0,10.0,1
6155.4,7634.28,1478.88,20.54,95445,38.848082,-123.50608,2.0,85.1,393.0,7,72,2.0,2.0,2.0,0.0,0,2.0,2.0,41.0,0
2583.75,4026.33,1392.58,28.42,92887,33.884073,-117.732197,0.0,52.15,1095.0,6,49,0.0,0.0,0.0,1.0,0,0.0,2.0,41.0,0
70.25,93.25,23.0,23.0,93312,35.392599,-119.245341,0.0,70.25,56.0,0,1,0.0,0.0,0.0,2.0,0,0.0,0.0,59.0,1
53.15,62.99,9.84,4.92,95556,41.269521,-123.546958,0.0,18.75,708.0,0,2,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
4086.3,4200.3,114.0,2.85,96002,40.527834,-122.318749,0.0,101.85,805.0,1,40,0.0,2.0,0.0,2.0,0,0.0,0.0,3.0,1
4103.9,4103.9,0.0,0.0,91739,34.133809,-117.523724,2.0,59.55,795.0,1,67,2.0,0.0,2.0,1.0,0,2.0,2.0,52.0,0
1111.85,1754.3,642.45,42.83,95374,37.316807,-120.855753,0.0,79.75,951.0,0,15,0.0,0.0,2.0,2.0,0,0.0,0.0,21.0,1
1626.4,2974.69,1348.29,18.99,94502,37.724817,-122.224363,2.0,23.9,7.0,9,71,1.0,1.0,1.0,3.0,1,1.0,1.0,0.0,0
3015.75,3570.15,554.4,13.86,91917,32.622999,-116.687855,0.0,74.55,272.0,5,40,0.0,0.0,0.0,1.0,3,2.0,2.0,75.0,0
3442.8,3442.8,0.0,0.0,95682,38.598936,-120.963092,2.0,48.4,914.0,0,70,2.0,2.0,0.0,1.0,0,2.0,2.0,26.0,0
7689.95,8124.11,434.16,6.03,90713,33.847755,-118.112532,2.0,104.15,509.0,0,72,0.0,0.0,2.0,2.0,0,2.0,0.0,2.0,1
1686.85,2388.33,701.48,36.92,91307,34.199787,-118.68493,1.0,89.35,1057.0,1,19,2.0,0.0,0.0,2.0,3,0.0,2.0,52.0,0
7074.4,8560.88,1486.48,21.86,95138,37.246064,-121.749494,2.0,103.25,861.0,2,68,0.0,2.0,2.0,2.0,2,2.0,2.0,29.0,0
78.8,106.84,28.04,28.04,92870,33.881158,-117.854783,0.0,78.8,764.0,1,1,0.0,0.0,0.0,2.0,0,0.0,0.0,30.0,1
703.55,1031.42,327.87,36.43,92028,33.362575,-117.299644,0.0,74.65,315.0,0,9,0.0,2.0,2.0,1.0,0,0.0,2.0,16.0,1
581.85,812.7,230.85,8.55,95003,37.013471,-121.877877,2.0,20.6,34.0,0,27,1.0,1.0,1.0,3.0,2,1.0,1.0,0.0,0
24.9,24.9,0.0,0.0,94925,37.924014,-122.511694,0.0,24.9,220.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,13.0,0
1147.45,1267.3,119.85,7.99,91020,34.2112,-118.230625,0.0,75.3,631.0,0,15,0.0,0.0,2.0,2.0,0,0.0,0.0,27.0,1
3062.45,3893.15,830.7,18.46,94043,37.419725,-122.062947,2.0,70.05,646.0,0,45,2.0,2.0,0.0,0.0,0,0.0,2.0,3.0,0
295.55,950.75,655.2,40.95,91411,34.17847,-118.459472,1.0,19.35,1031.0,0,16,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
1201.15,1650.74,339.43,26.11,90621,33.874224,-117.993368,0.0,90.5,118.0,0,13,0.0,0.0,0.0,2.0,0,0.0,2.0,4.0,1
1612.75,2180.27,615.78,34.21,94595,37.862128,-122.075197,0.0,90.1,1043.0,0,18,2.0,0.0,0.0,2.0,0,0.0,2.0,19.0,1
1155.6,1752.15,596.55,39.77,93512,37.653947,-118.231443,0.0,76.5,73.0,5,15,2.0,0.0,2.0,1.0,1,2.0,2.0,18.0,0
2308.6,2485.2,126.6,4.22,96044,41.962127,-122.527696,1.0,74.65,430.0,0,30,2.0,2.0,2.0,1.0,0,2.0,0.0,13.0,0
364.55,467.71,104.64,26.16,95714,39.197215,-120.83679,0.0,101.7,278.0,0,4,0.0,0.0,2.0,2.0,0,0.0,2.0,85.0,1
967.9,3388.36,2420.46,47.46,94964,37.942551,-122.491642,2.0,19.6,875.0,0,51,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
321.7,790.7,469.0,33.5,90017,34.052842,-118.264495,1.0,24.8,552.0,0,14,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
4749.15,6222.6,1473.45,31.35,90028,34.099869,-118.326843,0.0,99.35,552.0,1,47,0.0,0.0,2.0,2.0,1,0.0,2.0,16.0,1
62.05,119.88,47.83,47.83,95692,39.043387,-121.409837,0.0,62.05,1066.0,0,1,2.0,0.0,0.0,1.0,0,2.0,0.0,12.0,1
45.3,71.71,26.41,26.41,95925,39.461768,-121.195825,0.0,45.3,180.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,26.0,1
3229.65,4478.16,1148.51,21.67,95126,37.327069,-121.916819,1.0,60.05,861.0,1,53,2.0,2.0,0.0,0.0,0,0.0,0.0,6.0,1
140.95,183.11,42.16,5.27,92305,34.1678,-116.86433,1.0,20.2,26.0,0,8,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
5135.35,8302.71,3167.36,49.49,95112,37.343827,-121.883119,0.0,81.05,861.0,4,64,0.0,2.0,2.0,2.0,2,0.0,0.0,12.0,0
8109.8,10351.16,2241.36,31.13,92831,33.879983,-117.895482,1.0,109.25,351.0,1,72,2.0,0.0,2.0,2.0,0,2.0,2.0,11.0,1
5925.75,7737.78,1812.03,31.79,91040,34.282704,-118.312929,0.0,103.05,966.0,4,57,2.0,2.0,2.0,2.0,0,2.0,0.0,13.0,0
70.1,116.27,46.17,46.17,95322,37.147198,-121.120161,0.0,70.1,397.0,0,1,0.0,0.0,0.0,2.0,0,0.0,0.0,30.0,1
77.6,92.12,14.52,3.63,94510,38.113533,-122.11926,0.0,20.5,72.0,4,4,1.0,1.0,1.0,3.0,2,1.0,1.0,0.0,0
1237.3,2384.16,1146.86,44.11,95821,38.625096,-121.383658,0.0,49.15,838.0,0,26,2.0,0.0,0.0,1.0,0,0.0,0.0,8.0,0
74.1,110.15,36.05,36.05,95465,38.415003,-122.998726,1.0,74.1,690.0,0,1,2.0,0.0,0.0,1.0,0,2.0,2.0,30.0,0
633.3,1024.1,390.8,48.85,90063,34.044271,-118.185237,0.0,80.65,552.0,1,8,0.0,0.0,2.0,2.0,1,0.0,0.0,17.0,1
3184.25,3184.25,0.0,0.0,91737,34.245289,-117.642503,1.0,60.45,795.0,1,53,2.0,0.0,2.0,1.0,0,2.0,2.0,13.0,1
